,contestId,index,name,type,points,rating,tags
0,1501,B,Napoleon Cake,PROGRAMMING,1000.0,900.0,"['dp', 'implementation', 'sortings']"
1,1501,A,Alexey and Train,PROGRAMMING,500.0,800.0,['implementation']
2,1500,F,Cupboards Jumps,PROGRAMMING,3000.0,3500.0,['dp']
3,1500,E,Subset Trick,PROGRAMMING,2500.0,3300.0,"['binary search', 'data structures']"
4,1500,D,Tiles for Bathroom,PROGRAMMING,2000.0,2900.0,['two pointers']
5,1500,C,Matrix Sorting,PROGRAMMING,1500.0,2600.0,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'greedy', 'hashing', 'string suffix structures']"
6,1500,B,Two chandeliers,PROGRAMMING,750.0,2200.0,"['binary search', 'brute force', 'chinese remainder theorem', 'math', 'number theory']"
7,1500,A,Going Home,PROGRAMMING,750.0,1800.0,"['brute force', 'implementation', 'math']"
8,1496,B,Max and Mex,PROGRAMMING,1000.0,1100.0,"['implementation', 'math']"
9,1496,A,Split it!,PROGRAMMING,500.0,900.0,"['brute force', 'constructive algorithms', 'greedy', 'strings']"
10,1495,F,Squares,PROGRAMMING,3250.0,3300.0,"['constructive algorithms', 'data structures', 'dp', 'graphs', 'trees']"
11,1495,E,Qingshan and Daniel,PROGRAMMING,2500.0,3200.0,"['brute force', 'data structures', 'greedy', 'implementation']"
12,1495,D,BFS Trees,PROGRAMMING,2000.0,2600.0,"['combinatorics', 'dfs and similar', 'graphs', 'math', 'shortest paths', 'trees']"
13,1495,C,Garden of the Sun,PROGRAMMING,1500.0,2300.0,"['constructive algorithms', 'graphs']"
14,1495,B,Let's Go Hiking,PROGRAMMING,1000.0,1900.0,"['games', 'greedy']"
15,1495,A,Diamond Miner,PROGRAMMING,500.0,1200.0,"['geometry', 'greedy', 'math', 'sortings']"
16,1494,F,Delete The Edges,PROGRAMMING,,2900.0,"['brute force', 'constructive algorithms', 'dfs and similar', 'graphs', 'implementation']"
17,1494,E,A-Z Graph,PROGRAMMING,,2400.0,"['constructive algorithms', 'data structures', 'graphs', 'hashing']"
18,1494,D,Dogeforces,PROGRAMMING,,2300.0,"['constructive algorithms', 'data structures', 'dfs and similar', 'divide and conquer', 'dsu', 'greedy', 'sortings', 'trees']"
19,1494,C,1D Sokoban,PROGRAMMING,,1900.0,"['binary search', 'dp', 'greedy', 'implementation', 'two pointers']"
20,1494,B,Berland Crossword,PROGRAMMING,,1400.0,"['bitmasks', 'brute force', 'greedy', 'implementation']"
21,1494,A,ABC String,PROGRAMMING,,900.0,"['bitmasks', 'brute force', 'implementation']"
22,1493,F,Enchanted Matrix,PROGRAMMING,3250.0,2600.0,"['bitmasks', 'interactive', 'number theory']"
23,1493,E,Enormous XOR,PROGRAMMING,2750.0,2600.0,"['bitmasks', 'constructive algorithms', 'greedy', 'math', 'strings', 'two pointers']"
24,1493,D,GCD of an Array,PROGRAMMING,2250.0,2100.0,"['brute force', 'data structures', 'hashing', 'implementation', 'math', 'number theory', 'sortings', 'two pointers']"
25,1493,C,K-beautiful Strings,PROGRAMMING,1750.0,2000.0,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'strings']"
26,1493,B,Planet Lapituletti,PROGRAMMING,1250.0,1300.0,"['brute force', 'implementation']"
27,1493,A,Anti-knapsack,PROGRAMMING,750.0,800.0,"['constructive algorithms', 'greedy']"
28,1492,E,Almost Fault-Tolerant Database,PROGRAMMING,3000.0,2500.0,"['brute force', 'constructive algorithms', 'dfs and similar', 'greedy', 'implementation']"
29,1492,D,Genius's Gambit,PROGRAMMING,2250.0,1900.0,"['bitmasks', 'constructive algorithms', 'greedy', 'math']"
30,1492,C,Maximum width,PROGRAMMING,1500.0,1500.0,"['binary search', 'data structures', 'dp', 'greedy', 'two pointers']"
31,1492,B,Card Deck,PROGRAMMING,1000.0,1100.0,"['data structures', 'greedy', 'math']"
32,1492,A,Three swimmers,PROGRAMMING,500.0,800.0,['math']
33,1491,I,Ruler Of The Zoo,PROGRAMMING,5000.0,3500.0,"['brute force', 'data structures']"
34,1491,H,Yuezheng Ling and Dynamic Tree,PROGRAMMING,3000.0,3400.0,"['data structures', 'trees']"
35,1491,G,Switch and Flip,PROGRAMMING,2250.0,2800.0,"['constructive algorithms', 'graphs', 'math']"
36,1491,F,Magnets,PROGRAMMING,2000.0,2700.0,"['binary search', 'constructive algorithms', 'interactive']"
37,1491,E,Fib-tree,PROGRAMMING,1750.0,2400.0,"['brute force', 'dfs and similar', 'divide and conquer', 'number theory', 'trees']"
38,1491,D,Zookeeper and The Infinite Zoo,PROGRAMMING,1250.0,1800.0,"['bitmasks', 'constructive algorithms', 'dp', 'greedy', 'math']"
39,1491,C,Pekora and Trampoline,PROGRAMMING,1000.0,1700.0,"['brute force', 'data structures', 'dp', 'greedy', 'implementation']"
40,1491,B,Minimal Cost,PROGRAMMING,750.0,1200.0,"['brute force', 'math']"
41,1491,A,K-th Largest Value,PROGRAMMING,500.0,800.0,"['brute force', 'greedy', 'implementation']"
42,1490,G,Old Floppy Drive ,PROGRAMMING,,1900.0,"['binary search', 'data structures', 'math']"
43,1490,F,Equalize the Array,PROGRAMMING,,1500.0,"['binary search', 'data structures', 'greedy', 'math', 'sortings']"
44,1490,E,Accidental Victory,PROGRAMMING,,1400.0,"['binary search', 'data structures', 'greedy']"
45,1490,D,Permutation Transformation,PROGRAMMING,,1200.0,"['dfs and similar', 'divide and conquer', 'implementation']"
46,1490,C,Sum of Cubes,PROGRAMMING,,1100.0,"['binary search', 'brute force', 'brute force', 'math']"
47,1490,B,Balanced Remainders,PROGRAMMING,,1000.0,"['brute force', 'constructive algorithms', 'math']"
48,1490,A,Dense Array,PROGRAMMING,,800.0,"['greedy', 'math']"
49,1488,J,Flower Shop,PROGRAMMING,,3100.0,"['*special', 'data structures', 'fft', 'math']"
50,1488,I,Demonic Invasion,PROGRAMMING,,3100.0,"['*special', 'flows']"
51,1488,H,Build From Suffixes,PROGRAMMING,,2800.0,"['*special', 'combinatorics', 'data structures']"
52,1488,G,Painting Numbers,PROGRAMMING,,2500.0,"['*special', 'data structures', 'greedy', 'number theory']"
53,1488,F,Dogecoin,PROGRAMMING,,2300.0,"['*special', '*special', 'binary search', 'data structures']"
54,1488,E,Palindromic Doubles,PROGRAMMING,,2200.0,"['*special', 'data structures', 'dp']"
55,1488,D,Problemsolving Marathon,PROGRAMMING,,1900.0,"['*special', 'binary search', 'greedy']"
56,1488,C,Two Policemen,PROGRAMMING,,1900.0,"['*special', 'binary search', 'brute force', 'math']"
57,1488,B,RBS Deletion,PROGRAMMING,,1800.0,"['*special', 'greedy']"
58,1488,A,From Zero To Y,PROGRAMMING,,900.0,"['*special', 'math']"
59,1487,G,String Counting,PROGRAMMING,,2700.0,"['combinatorics', 'dp', 'fft', 'math']"
60,1487,F,Ones,PROGRAMMING,,2900.0,"['dp', 'greedy', 'shortest paths']"
61,1487,E,Cheap Dinner,PROGRAMMING,,2000.0,"['brute force', 'data structures', 'graphs', 'greedy', 'implementation', 'sortings', 'two pointers']"
62,1487,D,Pythagorean Triples,PROGRAMMING,,1500.0,"['binary search', 'brute force', 'math', 'number theory']"
63,1487,C,Minimum Ties,PROGRAMMING,,1500.0,"['brute force', 'constructive algorithms', 'dfs and similar', 'graphs', 'greedy', 'implementation', 'math']"
64,1487,B,Cat Cycle,PROGRAMMING,,1200.0,"['math', 'number theory']"
65,1487,A,Arena,PROGRAMMING,,800.0,"['implementation', 'sortings']"
66,1486,F,Pairs of Paths,PROGRAMMING,3000.0,2600.0,"['combinatorics', 'data structures', 'dfs and similar', 'dp', 'trees']"
67,1486,E,Paired Payment,PROGRAMMING,2250.0,2200.0,"['binary search', 'brute force', 'constructive algorithms', 'dp', 'flows', 'graphs', 'shortest paths']"
68,1486,D,Max Median,PROGRAMMING,1750.0,2100.0,"['binary search', 'data structures', 'dp']"
69,1486,C2,Guessing the Greatest (hard version),PROGRAMMING,750.0,1900.0,"['binary search', 'interactive']"
70,1486,C1,Guessing the Greatest (easy version),PROGRAMMING,750.0,1600.0,"['binary search', 'interactive']"
71,1486,B,Eastern Exhibition,PROGRAMMING,1000.0,1500.0,"['binary search', 'geometry', 'shortest paths', 'sortings']"
72,1486,A,Shifting Stacks,PROGRAMMING,500.0,900.0,"['greedy', 'implementation']"
73,1485,F,Copy or Prefix Sum,PROGRAMMING,3000.0,2400.0,"['combinatorics', 'data structures', 'dp', 'sortings']"
74,1485,E,Move and Swap,PROGRAMMING,2500.0,2500.0,"['dfs and similar', 'dp', 'greedy', 'trees']"
75,1485,D,Multiples and Power Differences,PROGRAMMING,1750.0,2200.0,"['constructive algorithms', 'graphs', 'math', 'number theory']"
76,1485,C,Floor and Mod,PROGRAMMING,1500.0,1700.0,"['binary search', 'brute force', 'math', 'number theory']"
77,1485,B,Replace and Keep Sorted,PROGRAMMING,1000.0,1200.0,"['dp', 'implementation', 'math']"
78,1485,A,Add and Divide,PROGRAMMING,500.0,1000.0,"['brute force', 'greedy', 'math', 'number theory']"
79,1481,F,AB Tree,PROGRAMMING,3000.0,3100.0,"['dp', 'greedy', 'trees']"
80,1481,E,Sorting Books,PROGRAMMING,2500.0,2500.0,"['data structures', 'dp', 'greedy']"
81,1481,D,AB Graph,PROGRAMMING,2000.0,2000.0,"['brute force', 'constructive algorithms', 'graphs', 'greedy', 'implementation']"
82,1481,C,Fence Painting,PROGRAMMING,1500.0,1600.0,"['brute force', 'constructive algorithms', 'greedy']"
83,1481,B,New Colony,PROGRAMMING,750.0,1100.0,"['brute force', 'greedy', 'implementation']"
84,1481,A,Space Navigation ,PROGRAMMING,500.0,800.0,"['greedy', 'strings']"
85,1480,B,The Great Hero,PROGRAMMING,1000.0,900.0,"['greedy', 'implementation', 'sortings']"
86,1480,A,Yet Another String Game,PROGRAMMING,500.0,800.0,"['games', 'greedy', 'strings']"
87,1479,E,School Clubs,PROGRAMMING,4000.0,3500.0,"['dp', 'fft', 'math', 'number theory', 'probabilities']"
88,1479,D,Odd Mineral Resource,PROGRAMMING,2250.0,2900.0,"['binary search', 'bitmasks', 'brute force', 'data structures', 'probabilities', 'trees']"
89,1479,C,Continuous City,PROGRAMMING,1500.0,2500.0,"['bitmasks', 'constructive algorithms']"
90,1479,B2,Painting the Array II,PROGRAMMING,750.0,2100.0,"['constructive algorithms', 'data structures', 'dp', 'greedy', 'implementation']"
91,1479,B1,Painting the Array I,PROGRAMMING,750.0,1900.0,"['constructive algorithms', 'data structures', 'dp', 'greedy', 'implementation']"
92,1479,A,Searching Local Minimum,PROGRAMMING,500.0,1700.0,"['binary search', 'interactive', 'ternary search']"
93,1478,C,Nezzar and Symmetric Array,PROGRAMMING,1500.0,1700.0,"['implementation', 'math', 'sortings']"
94,1478,B,Nezzar and Lucky Number,PROGRAMMING,1000.0,1100.0,"['brute force', 'dp', 'greedy', 'math']"
95,1478,A,Nezzar and Colorful Balls,PROGRAMMING,500.0,800.0,"['brute force', 'greedy']"
96,1477,F,Nezzar and Chocolate Bars,PROGRAMMING,4000.0,3500.0,"['combinatorics', 'fft', 'math', 'probabilities']"
97,1477,E,Nezzar and Tournaments,PROGRAMMING,2750.0,3300.0,"['data structures', 'greedy']"
98,1477,D,Nezzar and Hidden Permutations,PROGRAMMING,2250.0,2800.0,"['constructive algorithms', 'dfs and similar', 'graphs']"
99,1477,C,Nezzar and Nice Beatmap,PROGRAMMING,1500.0,2200.0,"['constructive algorithms', 'geometry', 'greedy', 'math', 'sortings']"
